,textID,text,selected_text,sentiment
3,f14f087215, i dont think you can vote anymore! i tried,i dont think you can vote anymore!,negative
5,1915bebcb3,headache  wanna see my Julie,headache,negative
12,41fd07f670, Miss you my dear,Miss you my dear,negative
15,49c7c9c6e2,"Today Dan bought me Bio Dome AND the Reality Bites Soundtrack! Needless to say he gets MAYJAH points!  Also, my tummy is not happy. Boo.",", my tummy is not happy. Boo.",negative
16,e6f5e9817d, oo noo thats not good,s not good,negative
17,fee2d997a9,misses her phone... having no service sucks,having no service sucks,negative
18,459fc2a7c8,so i have like no more friends it's kinda sad,no more friends,negative
21,22adf200c3,"Also I popped the phone open and got all that goddamn dust out, but I wore out a clip on the camera panel so I had to glue it shut",goddamn,negative
22,bae5414377, uh oh,uh oh,negative
35,d86eaa0487, what Brody how dare u,what Brody how dare u,negative
36,2756df3899,I feel useless I don't know what to do right now. I'm so bored,useless,negative
38,2334cae701,kate is leaving me all by my lonesome,lonesome,negative
43,118850b843,I lost a follower  oh well probably one of those mute ones anyway.,lost,negative
45,ad6c3de0ae, saying goodbye to something familiar never becomes familiar,never becomes familiar,negative
48,95c725edb6,"Just got back in, and I'm absolutely exhausted, have to be up in 5 hours for work","I'm absolutely exhausted,",negative
52,e6dedf3aad,my dog ran awayyy,my dog ran awayyy,negative
56,e41986b2d9,is missing someone.. haayy..  http://plurk.com/p/x2avn,is missing someone..,negative
57,3440297f8b," S'ok, trying to plot alternatives as we speak *sigh*",*sigh*,negative
58,f09c712326,"Hot ****, I'm at **** Disneyland!","Hot ****,",negative
59,acdea0cf39,"Just figured out why only strong guys are supposed to put heavy things on top shelves, ouch!",ouch!,negative
60,675bb05b9d,Im @ the dentist  ....scary people here...,.scary,negative
63,07836035cd,damm i feel like the song of dead and gone by Travis Garland,damm,negative
65,b5167d5a96,Feels like im going to cough up a lung,Feels like im going to cough up a lung,negative
66,060d8bb5d5," actually, I wish I was back in Tahoe.  I miss it there.",I miss it there,negative
73,134b4e3267,In bed after a good last saturday in ec. I'm gonna miss this place but can't wait til summer,In bed after a good last saturday in ec. I'm gonna miss this place but can't wait til summer,negative
78,193909d380,"there are many jobs I aspire to, supervisor is not one of them  talk about too much stress for too little pay",stress,negative
96,067058825c,"Will this rain ever go away, my puppy is getting cabin fever and she doesn't like going out in the rain",doesn't like,negative
100,72b1bac82c,Get into me not going. lol at least I didnt get my hopes up,didnt get my hopes up,negative
102,95457abcc3,FC is finally up again. it's about time. i hate that this keeps happening,i hate that this keeps happening,negative
112,7c9df630ad,twitter is acting weird,acting weird,negative
115,ea113179b7,Home Sweet Home by Carrie Underwood makes me sadd,Home Sweet Home by Carrie Underwood makes me sadd,negative
116,c5498a9126,I am not doing much  all well!,I am not doing much  all well!,negative
118,35bd855aa8, your knowledge of X-men is starting to scare me,scare me,negative
122,117a319a9d,"so bored  Gonna go to the Carnival and get an all day pass tomorrow. Excited for that, but very bored today.",bored,negative
123,3e3a0af796," Try being in AZ again brooke, Omg you cant even be outside for less than a minute before getting your neck burned.","Try being in AZ again brooke, Omg you cant even be outside for less than a minute before getting your neck burned.",negative
129,ffd1493f11, gah! no money..... at least not for bakugan,gah!,negative
131,43720cae34, physics  the most boring class ever!,t boring,negative
136,3742bbfaf3,"is upset, I left my phone at home again","is upset,",negative
142,a967b74bad,Apparently it's 21 degrees in Kilkenny now! And some comedy would be a great remedy to my boredom! Why the hell did I leave Kilkenny!?,Why the hell did I leave Kilkenny!?,negative
145,082b083743," Uhhh.. not yet, maybe my DM inbox is just slow. I'll let you know when it shows",slow.,negative
146,553aac5c32, aww im sorry im home now hope your ok  i love ya wifey &lt;3 ****,aww im sorry,negative
148,1b8fa17155,Epsilon Greater than Zero misses her Mommy.  http://apps.facebook.com/catbook/profile/view/5626035,misses,negative
156,b55e8b3e2e, I'm having the same problem,problem,negative
162,1bf0493f22, They don't let the queer boys donate blood.,They don't let the queer boys donate blood.,negative
176,4ac0d18d0b," MISS YOU, TOO!",MISS,negative
182,c2a17084e9, l'm on 3 days too matt. No fun this weekend.,No fun,negative
193,a9e196f603, http://twitpic.com/67uc7 - can you lend me one? I have a cold too,cold,negative
195,7f63c04f61,GIVE A HATER A Hug ? Why would you do that? I don't like mwean people,I don't like,negative
196,2bf4730761,"Need to come up with another blog post today. But for now, I AM SLEEEEEPPYYYYYY!!!!!!!!",I AM SLEEEEEPPYYYYYY!!!!!!!!,negative
197,d8514244b8,"Uh. Finally home, but completely wiped.",wiped.,negative
198,f83bd50949,Traffic is horrific on 695..I jus wanna gt my dog,horrific,negative
202,160666a35d,"Hanging out with sam, billy, and veronica. not going to school tomorrow to take sam to body shops. Dang car accidents",accidents,negative
203,67b41c2332,Ugh!! Why isn't inFamous on xbox360!!!?? **** lame.. Its only on PS3..,**** lame..,negative
207,886e67eee9,It was my fault for leaving my flip-flops outside my locker while swimming at USF Koret but why oh why would you want to take 'em? #R2IMT,fault,negative
211,28d757d511,no one calls me anymore,no one calls me anymore,negative
217,914e57e54b, **** it! Must be Morrisons then,**** it!,negative
218,d86d952596,"They had a site, then a blog, now they have the worst zoning/concept of the year - Heaven.fr, tell meh it's a fake","They had a site, then a blog, now they have the worst zoning/concept of the year - Heaven.fr, tell meh it's a fake",negative
221,b804b59377, that is sickening... Just shoot at will? Smh... Prayers for his family...,that is sickening.,negative
231,5eb0846f97,homework on a friday night...lame,lame,negative
232,55ee97cf53,installed the new modem which is meant to run 5 times faster than the old one and its slower  what the hell? gah slow internet kills me,slower,negative
235,cb60a0d946,"It's called communifuckingcation.....learn it, know it, do it. These stupid **** people!",These stupid **** people!,negative
239,76ccb733b0,I fall asleep and didnt get to see the jonas brothers web cast  ... Still tierd,tierd,negative
242,086a1d96ed,I need to play inFamous... Where's a free Blockbuster rental coupon when you need one? I miss that Coke Reward,I miss,negative
243,5d5178af59," You can get into Canada, but I can't?  WTF!!!   (Seriously, I'm not allowed to cross the border!)","ly, I'm not allowed to cross the borde",negative
246,01b2476dd7,going to bed its late and I have headache,headache,negative
255,7cf5408afa, Bro. Martin!! I need you to repent!! Pam said we were going to get to meet you last wknd...,o repent!,negative
256,d88ca29383,_watkins Oh my gosh ian i always miss you when your on,miss,negative
257,a38bf809b0, LIKE DREW SAID &quot;GIVE TC A CHANCE&quot; WE WILL MISS THOMAS  BUT HAVE TO MOVE ON. SO WATCH THIS! http://bit.ly/r6RfC,t; WE,negative
260,aa20ff7392," I wasn't given an exact date, but it shouldn't be much longer. Please accept our apologies for the inconvenience!",Please accept our apologies for the inconvenience!,negative
262,4fd364c2ba," 140 characters, I find, is rarely enough to elaborate much upon anything.",rarely enough,negative
281,c70c228685,They just admitted my grandma to the hospital... Shes my only last one  please pray for her,Shes my only last one,negative
282,9b0414b040,A Banana and 2 cups of Coffee...Not a so Healthy Breakfast!,Not a so Healthy,negative
283,1b48b4632b, that really sucks - I think I might cry if I skipped over anything important I don't have. Comps are getting to be disposable,sucks,negative
287,e5f6ecf00a,went to bed last night with the feeling of a migraine coming and woke up feeling worse.,woke up feeling worse.,negative
293,08e64c5400,Lucy has an upset tummy and sore leg  http://apps.facebook.com/dogbook/profile/view/182397,upset,negative
294,6f3566719e,4am Hubby's alarm-song playing was &quot;Blame it on the Alcohol&quot; Of course I couldn't get back to sleep after cause thinking of Joe on cruise,Of course I couldn't get back to sleep after cause thinking of Joe,negative
295,9055095298,ready for the weekend and sad that I have to be at the office again tomorrow morning,sad th,negative
297,34755fc11a, I wish I could still drink it but I had two bad nights with white wine in London and then I was sick for almost a week,sick,negative
303,5a7c476187,I really ain't woth a ****. I can't do anythin right.   What's wrong with me?,What's wrong with me?,negative
305,c63410a989,NO MORE MSHS!!!!!!!! Gotta go to work...too tired,too tired,negative
310,153027be1c, wheres the music mannnn!!?? my inbox is still empty,my inbox is still empty,negative
313,4b3fd4ec22,Last day at DMA over!     a million sad faces.,ion,negative
315,f8003ffdba,omg i didnt tweet all that much today.... *sadness*,. *sadness*,negative
317,96cb55250d, Awww Thatss Well Sad  x,Sad,negative
319,6f87ac1c3a,Hairdye patch test has just smeared all over my WHITE duvet cover  **** ****. &lt;3,smeared,negative
321,8e98e7fc0b,I'm SAD SAD SAD!!! thought my aunty Stina coming but no more  i was so looking forward to having family..i miss dat! i'm alone on maui,I'm SAD SAD SAD!!!,negative
328,6819873075, **** that is awful... could not believe it at first... so sad,awful.,negative
332,433d0e9177," lol.  When I went to buy my new laptop in Feb., I already knew, lol, but I looked anyway and walked away sadfaced. :/",y sadfaced,negative
