,frequency,presence,idf,tf-idf
i do nt,88,1.0,9.267063775017041,815.5016122014996
i ca nt,60,1.0,9.267063775017041,556.0238265010224
i m so,42,1.0,9.267063775017041,389.2166785507157
i m sorry,31,1.0,9.267063775017041,287.27897702552826
do nt like,27,1.0,9.267063775017041,250.21072192546012
i m not,26,1.0,9.267063775017041,240.94365815044307
i miss you,24,1.0,9.267063775017041,222.40953060040897
do nt think,21,1.0,9.267063775017041,194.60833927535785
i feel like,21,1.0,9.267063775017041,194.60833927535785
nt want to,21,1.0,9.267063775017041,194.60833927535785
i miss my,18,1.0,9.267063775017041,166.80714795030673
sorry to hear,17,1.0,9.267063775017041,157.5400841752897
i wish i,16,1.0,9.267063775017041,148.27302040027266
do nt feel,15,1.0,9.267063775017041,139.0059566252556
do nt want,15,1.0,9.267063775017041,139.0059566252556
i hate it,14,1.0,9.267063775017041,129.73889285023859
i did nt,14,1.0,9.267063775017041,129.73889285023859
it s not,14,1.0,9.267063775017041,129.73889285023859
going to be,14,1.0,9.267063775017041,129.73889285023859
ca nt believe,13,1.0,9.267063775017041,120.47182907522154
do nt know,13,1.0,9.267063775017041,120.47182907522154
i have a,13,1.0,9.267063775017041,120.47182907522154
to hear that,13,1.0,9.267063775017041,120.47182907522154
i think i,12,1.0,9.267063775017041,111.20476530020449
nt think i,12,4.0,8.350773043142887,100.20927651771464
ca nt sleep,12,1.0,9.267063775017041,111.20476530020449
i m really,11,4.0,8.350773043142887,91.85850347457176
i hate that,11,1.0,9.267063775017041,101.93770152518745
i have to,10,1.0,9.267063775017041,92.67063775017041
wan na go,10,1.0,9.267063775017041,92.67063775017041
do nt have,10,4.0,8.350773043142887,83.50773043142887
is going to,10,1.0,9.267063775017041,92.67063775017041
i am so,10,1.0,9.267063775017041,92.67063775017041
not a good,10,1.0,9.267063775017041,92.67063775017041
i m going,10,1.0,9.267063775017041,92.67063775017041
ca nt find,10,88.0,5.471574585844846,54.71574585844846
gon na miss,9,1.0,9.267063775017041,83.40357397515336
wish i could,9,1.0,9.267063775017041,83.40357397515336
a good day,9,1.0,9.267063775017041,83.40357397515336
i m sick,9,1.0,9.267063775017041,83.40357397515336
miss you too,9,1.0,9.267063775017041,83.40357397515336
does nt sound,9,1.0,9.267063775017041,83.40357397515336
wo nt be,9,8.0,7.762986378240766,69.8668774041669
i m stuck,8,4.0,8.350773043142887,66.8061843451431
i had a,8,1.0,9.267063775017041,74.13651020013633
i m tired,8,1.0,9.267063775017041,74.13651020013633
not in the,8,2.0,8.861598666908876,70.892789335271
want to go,8,1.0,9.267063775017041,74.13651020013633
i feel so,8,1.0,9.267063775017041,74.13651020013633
m going to,8,1.0,9.267063775017041,74.13651020013633
think i m,8,1.0,9.267063775017041,74.13651020013633
wish i had,8,6.0,8.014300806521673,64.11440645217338
no one to,8,1.0,9.267063775017041,74.13651020013633
i m bored,8,6.0,8.014300806521673,64.11440645217338
it s so,8,1.0,9.267063775017041,74.13651020013633
m so sorry,8,1.0,9.267063775017041,74.13651020013633
i m a,8,1.0,9.267063775017041,74.13651020013633
and i m,7,1.0,9.267063775017041,64.86944642511929
it s the,7,1.0,9.267063775017041,64.86944642511929
i m sad,7,8.0,7.762986378240766,54.34090464768536
nt let me,7,1.0,9.267063775017041,64.86944642511929
m so tired,7,1.0,9.267063775017041,64.86944642511929
wo nt let,7,1.0,9.267063775017041,64.86944642511929
makes me sad,7,1.0,9.267063775017041,64.86944642511929
did nt get,7,3.0,8.573916594457096,60.01741616119967
that s not,7,1.0,9.267063775017041,64.86944642511929
not looking forward,7,1.0,9.267063775017041,64.86944642511929
nt wan na,7,7.0,7.88076941389715,55.16538589728005
nt feel good,7,1.0,9.267063775017041,64.86944642511929
is killing me,7,1.0,9.267063775017041,64.86944642511929
m gon na,7,1.0,9.267063775017041,64.86944642511929
dont want to,7,5.0,8.168451486348932,57.17916040444253
i have no,7,1.0,9.267063775017041,64.86944642511929
ca nt even,7,1.0,9.267063775017041,64.86944642511929
i can not,7,1.0,9.267063775017041,64.86944642511929
gon na be,7,1.0,9.267063775017041,64.86944642511929
i m gon,7,1.0,9.267063775017041,64.86944642511929
i m very,7,1.0,9.267063775017041,64.86944642511929
i hate i,6,1.0,9.267063775017041,55.60238265010224
am going to,6,1.0,9.267063775017041,55.60238265010224
i know i,6,4.0,8.350773043142887,50.10463825885732
i dont like,6,1.0,9.267063775017041,55.60238265010224
i wan na,6,1.0,9.267063775017041,55.60238265010224
to go to,6,1.0,9.267063775017041,55.60238265010224
do nt wan,6,1.0,9.267063775017041,55.60238265010224
i hate the,6,1.0,9.267063775017041,55.60238265010224
nt seem to,6,1.0,9.267063775017041,55.60238265010224
ca nt go,6,1.0,9.267063775017041,55.60238265010224
not having a,6,1.0,9.267063775017041,55.60238265010224
feel like i,6,1.0,9.267063775017041,55.60238265010224
now i m,6,1.0,9.267063775017041,55.60238265010224
i m afraid,6,1.0,9.267063775017041,55.60238265010224
but it s,6,1.0,9.267063775017041,55.60238265010224
i have nt,6,3.0,8.573916594457096,51.443499566742574
this is not,6,1.0,9.267063775017041,55.60238265010224
not going to,6,1.0,9.267063775017041,55.60238265010224
but i m,6,5.0,8.168451486348932,49.01070891809359
i miss him,6,1.0,9.267063775017041,55.60238265010224
ca nt do,6,1.0,9.267063775017041,55.60238265010224
i feel bad,6,1.0,9.267063775017041,55.60238265010224
not feeling well,6,2.0,8.861598666908876,53.16959200145325
is gon na,6,1.0,9.267063775017041,55.60238265010224
i feel really,5,1.0,9.267063775017041,46.33531887508521
i dont feel,5,1.0,9.267063775017041,46.33531887508521
no one will,5,1.0,9.267063775017041,46.33531887508521
that s sad,5,1.0,9.267063775017041,46.33531887508521
hate i hate,5,1.0,9.267063775017041,46.33531887508521
but i have,5,1.0,9.267063775017041,46.33531887508521
it was nt,5,2.0,8.861598666908876,44.30799333454438
i dont want,5,1.0,9.267063775017041,46.33531887508521
know if i,5,1.0,9.267063775017041,46.33531887508521
you do nt,5,4.0,8.350773043142887,41.753865215714434
wish i was,5,1.0,9.267063775017041,46.33531887508521
get to see,5,1.0,9.267063775017041,46.33531887508521
i hate this,5,1.0,9.267063775017041,46.33531887508521
nt make it,5,1.0,9.267063775017041,46.33531887508521
did nt work,5,1.0,9.267063775017041,46.33531887508521
i missed the,5,1.0,9.267063775017041,46.33531887508521
having a good,5,1.0,9.267063775017041,46.33531887508521
what s wrong,5,1.0,9.267063775017041,46.33531887508521
i could nt,5,1.0,9.267063775017041,46.33531887508521
i know it,5,1.0,9.267063775017041,46.33531887508521
i am not,5,1.0,9.267063775017041,46.33531887508521
m so sad,5,2.0,8.861598666908876,44.30799333454438
it does nt,5,1.0,9.267063775017041,46.33531887508521
i am soo,5,1.0,9.267063775017041,46.33531887508521
it s sad,5,1.0,9.267063775017041,46.33531887508521
ca nt get,5,1.0,9.267063775017041,46.33531887508521
does nt like,5,1.0,9.267063775017041,46.33531887508521
so hard to,5,2.0,8.861598666908876,44.30799333454438
i m feeling,5,1.0,9.267063775017041,46.33531887508521
going to miss,5,1.0,9.267063775017041,46.33531887508521
i missed you,5,1.0,9.267063775017041,46.33531887508521
i need a,5,1.0,9.267063775017041,46.33531887508521
what to do,5,1.0,9.267063775017041,46.33531887508521
i am going,5,2.0,8.861598666908876,44.30799333454438
i feel sick,5,1.0,9.267063775017041,46.33531887508521
