,frequency,presence,idf,tf-idf
i,1733,1458.0,2.6747044070542003,4635.26273742493
to,595,529.0,3.6873339490308186,2193.963699673337
nt,560,541.0,3.66494495413734,2052.36917431691
the,549,477.0,3.79060022308553,2081.039522473956
my,526,496.0,3.7516209294803575,1973.3526089066681
a,477,439.0,3.8734362286646795,1847.629081073052
it,434,404.0,3.956323888470447,1717.044567596174
not,422,421.0,3.9152056415409744,1652.2167807302912
is,403,384.0,4.006967621289202,1614.8079513795483
so,369,361.0,4.068566743751215,1501.3011284441984
m,366,358.0,4.076888567088707,1492.1412155544667
miss,358,357.0,4.079677969176286,1460.5247129651104
sad,339,335.0,4.143099795613782,1404.5108307130722
me,317,310.0,4.220418043397752,1337.8725197570873
sorry,300,299.0,4.2564284809207855,1276.9285442762357
that,289,279.0,4.325421352407737,1250.0467708458361
s,271,259.0,4.399529324561458,1192.2724469561551
in,263,245.0,4.454879419644623,1171.6332873665358
and,263,238.0,4.483747403645475,1179.22556715876
you,257,234.0,4.5006254414328275,1156.6607384482368
do,249,235.0,4.496379150551376,1119.5984084872925
bad,245,244.0,4.458952745032259,1092.4434225329035
hate,229,219.0,4.5665834092246245,1045.747600712439
no,220,207.0,4.6226728758756686,1016.988032692647
of,211,202.0,4.647004976535198,980.5180500489269
have,190,185.0,4.734464281863785,899.5482135541191
sick,168,167.0,4.836246976173728,812.4894919971863
for,164,157.0,4.897615922550019,803.2090112982031
just,163,161.0,4.872614620344602,794.2361831161701
like,162,158.0,4.891306753356755,792.3916940437942
sucks,157,157.0,4.897615922550019,768.9256998403529
feel,157,156.0,4.903965150228678,769.9225285859025
too,152,151.0,4.93633043473071,750.322226079068
this,148,145.0,4.97660433386865,736.5374414125602
ca,148,146.0,4.96977836879825,735.5271985821411
be,145,142.0,4.997366325317079,724.6181171709763
was,145,142.0,4.997366325317079,724.6181171709763
tired,145,143.0,4.990397656000985,723.6076601201428
on,138,129.0,5.092676505121403,702.7893577067537
really,137,131.0,5.077409032990615,695.6050375197143
but,131,129.0,5.092676505121403,667.1406221709038
at,129,122.0,5.1480266002045685,664.0954314263894
good,127,125.0,5.1239290486255085,650.7389891754395
im,122,116.0,5.19803702077923,634.1605165350661
up,116,114.0,5.215278827213736,604.9723439567935
bored,116,113.0,5.224012507182491,605.9854508331689
day,112,110.0,5.250680754264652,588.076244477641
all,112,112.0,5.232823136864646,586.0761913288403
hurts,108,108.0,5.268863073347842,569.037211921567
out,102,101.0,5.335238142292715,544.1942905138569
now,101,101.0,5.335238142292715,538.8590523715642
get,97,94.0,5.406334063976446,524.4144042057152
work,97,95.0,5.3958627641091494,523.3986881185875
am,95,95.0,5.3958627641091494,512.6069625903692
are,95,95.0,5.3958627641091494,512.6069625903692
nan,93,93.0,5.416916173306982,503.7732041175493
with,91,89.0,5.460401285246721,496.89651695745164
missed,90,89.0,5.460401285246721,491.43611567220495
stupid,89,89.0,5.460401285246721,485.9757143869582
missing,86,85.0,5.505863659323478,473.5042747018191
much,85,85.0,5.505863659323478,467.99841104249566
today,83,82.0,5.541370347780388,459.9337388657722
ugh,82,82.0,5.541370347780388,454.3923685179918
hard,81,81.0,5.553491708312733,449.8328283733314
got,79,78.0,5.590763103109965,441.6702851456872
going,78,78.0,5.590763103109965,436.07952204257725
go,78,76.0,5.616405533723302,438.07963163041757
poor,77,76.0,5.616405533723302,432.46322609669426
its,75,74.0,5.642722842040675,423.20421315305066
one,75,72.0,5.669751514428595,425.2313635821446
still,74,73.0,5.656145862372816,418.5547938155884
what,73,73.0,5.656145862372816,412.8986479532156
did,72,72.0,5.669751514428595,408.22210903885883
they,71,68.0,5.726104450979727,406.5534160195606
na,70,70.0,5.697531078535671,398.82717549749697
think,67,67.0,5.7407032504008795,384.62711777685894
quot,67,49.0,6.04818795014884,405.22859265997226
has,66,66.0,5.75551833618602,379.8642101882773
very,66,63.0,5.801327872217314,382.8876395663427
does,65,64.0,5.785823685681349,376.07853956928767
feeling,65,64.0,5.785823685681349,376.07853956928767
headache,64,64.0,5.785823685681349,370.2927158836063
soo,64,64.0,5.785823685681349,370.2927158836063
we,63,59.0,5.865866393354885,369.54958278135774
lost,63,63.0,5.801327872217314,365.4836559496908
about,58,58.0,5.882673511671267,341.19506367693344
u,58,55.0,5.934859264841837,344.22183736082656
why,57,56.0,5.917159687742436,337.27810220131886
well,57,56.0,5.917159687742436,337.27810220131886
want,56,56.0,5.917159687742436,331.36094251357645
dont,56,56.0,5.917159687742436,331.36094251357645
had,55,55.0,5.934859264841837,326.417259566301
cant,55,55.0,5.934859264841837,326.417259566301
oh,55,55.0,5.934859264841837,326.417259566301
time,54,54.0,5.952877770344515,321.45539959860383
e,53,53.0,5.971226909012712,316.4750261776737
will,52,50.0,6.02838532285266,313.4760367883383
he,52,48.0,6.0683906574663595,315.55631418825067
hurt,52,52.0,5.989919042024864,311.4757901852929
getting,51,51.0,6.0089672369955585,306.4573290867735
know,50,49.0,6.04818795014884,302.409397507442
as,50,41.0,6.222541337293618,311.1270668646809
never,48,48.0,6.0683906574663595,291.28275155838526
fun,48,48.0,6.0683906574663595,291.28275155838526
can,47,47.0,6.089009944669095,286.18346739944747
being,46,46.0,6.110063353866927,281.06291427787863
boring,46,46.0,6.110063353866927,281.06291427787863
fail,46,46.0,6.110063353866927,281.06291427787863
here,46,46.0,6.110063353866927,281.06291427787863
your,46,46.0,6.110063353866927,281.06291427787863
t,45,45.0,6.131569559087891,275.92063015895513
sadly,45,45.0,6.131569559087891,275.92063015895513
suck,45,45.0,6.131569559087891,275.92063015895513
how,45,45.0,6.131569559087891,275.92063015895513
amp,44,40.0,6.2466388888726785,274.85211111039786
there,44,43.0,6.176021321658725,271.7449381529839
right,44,44.0,6.153548465806666,270.7561324954933
ll,44,41.0,6.222541337293618,273.7918188409192
an,43,42.0,6.199010839883424,266.5574661149872
working,43,42.0,6.199010839883424,266.5574661149872
even,43,43.0,6.176021321658725,265.56891683132517
down,43,43.0,6.176021321658725,265.56891683132517
sleep,42,40.0,6.2466388888726785,262.3588333326525
gon,42,42.0,6.199010839883424,260.3584552751038
back,42,42.0,6.199010839883424,260.3584552751038
she,42,38.0,6.296649309447339,264.45927099678823
off,41,41.0,6.222541337293618,255.12419482903832
her,41,39.0,6.27133150146305,257.12459155998505
if,41,40.0,6.2466388888726785,256.1121944437798
stuck,41,41.0,6.222541337293618,255.12419482903832
been,41,41.0,6.222541337293618,255.12419482903832
wish,40,39.0,6.27133150146305,250.85326005852198
wrong,39,38.0,6.296649309447339,245.56932306844624
unfortunately,39,39.0,6.27133150146305,244.58192855705894
cry,38,36.0,6.349293042932762,241.27313563144494
pain,38,37.0,6.322624795850601,240.25974224232283
d,38,38.0,6.296649309447339,239.2726737589989
again,38,37.0,6.322624795850601,240.25974224232283
wo,37,37.0,6.322624795850601,233.93711744647223
life,36,36.0,6.349293042932762,228.57454954557943
from,36,35.0,6.376692017120876,229.56091261635152
could,36,36.0,6.349293042932762,228.57454954557943
worst,35,35.0,6.376692017120876,223.18422059923066
jealous,35,35.0,6.376692017120876,223.18422059923066
having,35,35.0,6.376692017120876,223.18422059923066
people,35,35.0,6.376692017120876,223.18422059923066
when,35,35.0,6.376692017120876,223.18422059923066
upset,34,34.0,6.4048628940875725,217.76533839897746
make,33,33.0,6.433850430960825,212.31706422170723
find,33,33.0,6.433850430960825,212.31706422170723
horrible,33,33.0,6.433850430960825,212.31706422170723
o,33,33.0,6.433850430960825,212.31706422170723
home,33,32.0,6.463703394110506,213.30221200564668
little,32,32.0,6.463703394110506,206.83850861153618
them,32,31.0,6.4944750527772594,207.8232016888723
him,32,31.0,6.4944750527772594,207.8232016888723
thing,32,32.0,6.463703394110506,206.83850861153618
last,31,31.0,6.4944750527772594,201.32872663609504
sore,31,31.0,6.4944750527772594,201.32872663609504
way,31,30.0,6.52622375109184,202.31293628384705
need,31,31.0,6.4944750527772594,201.32872663609504
happy,30,30.0,6.52622375109184,195.78671253275522
hot,30,29.0,6.5590135739148305,196.77040721744493
anymore,30,29.0,6.5590135739148305,196.77040721744493
hates,30,30.0,6.52622375109184,195.78671253275522
over,30,30.0,6.52622375109184,195.78671253275522
aww,30,30.0,6.52622375109184,195.78671253275522
twitter,30,30.0,6.52622375109184,195.78671253275522
broke,30,30.0,6.52622375109184,195.78671253275522
see,29,28.0,6.592915125590512,191.19453864212485
re,29,29.0,6.5590135739148305,190.21139364353007
more,29,29.0,6.5590135739148305,190.21139364353007
late,29,28.0,6.592915125590512,191.19453864212485
wtf,28,28.0,6.592915125590512,184.60162351653435
weird,28,28.0,6.592915125590512,184.60162351653435
cold,28,25.0,6.702114417555504,187.6592036915541
bit,28,28.0,6.592915125590512,184.60162351653435
long,28,28.0,6.592915125590512,184.60162351653435
already,28,28.0,6.592915125590512,184.60162351653435
weather,27,27.0,6.628006445401782,178.95617402584813
boo,27,27.0,6.628006445401782,178.95617402584813
or,27,27.0,6.628006445401782,178.95617402584813
wan,27,27.0,6.628006445401782,178.95617402584813
were,27,26.0,6.664374089572657,179.93810041846174
hell,27,27.0,6.628006445401782,178.95617402584813
died,27,27.0,6.628006445401782,178.95617402584813
night,26,25.0,6.702114417555504,174.2549748564431
week,26,23.0,6.78215712522904,176.33608525595506
away,26,26.0,6.664374089572657,173.2737263288891
broken,26,26.0,6.664374089572657,173.2737263288891
house,26,24.0,6.741335130708785,175.27471339842842
th,26,26.0,6.664374089572657,173.2737263288891
mad,26,26.0,6.664374089572657,173.2737263288891
lonely,26,26.0,6.664374089572657,173.2737263288891
dead,26,26.0,6.664374089572657,173.2737263288891
would,26,24.0,6.741335130708785,175.27471339842842
fair,26,26.0,6.664374089572657,173.2737263288891
makes,26,26.0,6.664374089572657,173.2737263288891
bed,25,25.0,6.702114417555504,167.5528604388876
problem,25,25.0,6.702114417555504,167.5528604388876
forgot,25,24.0,6.741335130708785,168.53337826771963
nothing,25,25.0,6.702114417555504,167.5528604388876
some,25,25.0,6.702114417555504,167.5528604388876
phone,25,25.0,6.702114417555504,167.5528604388876
shame,25,25.0,6.702114417555504,167.5528604388876
y,25,25.0,6.702114417555504,167.5528604388876
