,frequency,presence
i do nt know,44,1.0
i m going to,38,1.0
i do nt have,35,1.0
but i do nt,21,1.0
i wan na go,20,1.0
i m gon na,18,1.0
do nt want to,17,1.0
to go to the,17,1.0
i have to go,16,1.0
i wish i could,16,1.0
have to go to,15,1.0
want to go to,15,1.0
ca nt wait to,15,1.0
do nt know what,15,1.0
just got back from,14,1.0
on my way to,14,1.0
i do nt think,14,1.0
i do nt want,14,1.0
i ca nt believe,13,1.0
i want to go,13,1.0
may the be with,13,1.0
the be with you,12,2.0
just got home from,12,1.0
i did nt get,11,1.0
but i ca nt,11,1.0
i was going to,11,1.0
i ca nt wait,11,1.0
i wo nt be,11,1.0
and i do nt,11,1.0
i think it s,10,1.0
i ca nt go,10,1.0
in the middle of,10,1.0
to see star trek,10,1.0
gon na be a,10,1.0
but i have to,10,1.0
nt know what to,9,1.0
to go to bed,9,1.0
know what to do,9,1.0
i wish i was,9,1.0
i am going to,9,1.0
going to have to,9,1.0
on the way to,9,1.0
that s what i,9,1.0
need to go to,8,1.0
do nt have any,8,1.0
i was gon na,8,1.0
do nt have the,8,1.0
it s gon na,8,1.0
happy mother s day,8,1.0
i have to wait,8,1.0
to go to work,8,1.0
i wish i had,8,1.0
do nt know how,8,1.0
ca nt wait for,8,1.0
do nt have a,8,1.0
s gon na be,8,1.0
is going to be,8,1.0
so i do nt,8,10.0
i need to get,8,1.0
the middle of the,8,1.0
but i m not,8,5.0
nt be able to,8,1.0
go back to sleep,7,1.0
going to be a,7,2.0
i ll have to,7,1.0
it s time to,7,1.0
it s time for,7,1.0
i m not going,7,1.0
what are you doing,7,1.0
i m off to,7,1.0
i have to work,7,1.0
i want to see,7,1.0
do nt think i,7,1.0
i m in the,7,1.0
i m pretty sure,7,1.0
i know it s,7,1.0
trying to figure out,7,1.0
do nt know why,7,1.0
i think i m,6,1.0
ready to go to,6,1.0
i ca nt find,6,1.0
ca nt go to,6,1.0
got home from the,6,1.0
getting ready for work,6,1.0
i have no idea,6,1.0
i m so sorry,6,1.0
i really need to,6,1.0
ca nt make it,6,1.0
the rest of the,6,1.0
i think i ll,6,1.0
did nt get the,6,2.0
i want to be,6,1.0
i feel like i,6,1.0
i do nt like,6,1.0
i dont know what,6,1.0
so i have to,6,1.0
and now it s,6,1.0
i ca nt get,6,1.0
not looking forward to,6,1.0
i m trying to,6,1.0
nt know how to,6,1.0
for mother s day,6,1.0
i do nt remember,6,1.0
it s going to,6,1.0
i ll be back,6,1.0
i do nt see,6,1.0
the rest of my,6,1.0
at the same time,6,1.0
on my way home,6,1.0
low low low low,6,1.0
mother s day to,5,1.0
to figure out how,5,1.0
wo nt be able,5,1.0
i wan na be,5,1.0
to go to sleep,5,1.0
drag me to hell,5,1.0
i need to find,5,1.0
i ll be in,5,1.0
for the first time,5,1.0
m gon na miss,5,1.0
i think i have,5,1.0
to watch star trek,5,1.0
i need to go,5,1.0
i do nt even,5,1.0
i have to be,5,1.0
ca nt dm you,5,1.0
i wan na watch,5,1.0
wo nt let me,5,1.0
its gon na be,5,1.0
got back from the,5,1.0
i do nt get,5,2.0
s going to be,5,1.0
a few days ago,5,1.0
looking for a new,5,1.0
getting ready to go,5,1.0
do nt wan na,5,1.0
looking forward to the,5,1.0
i have to get,5,1.0
i m in a,5,1.0
i ca nt see,5,1.0
mothers day to all,5,1.0
wish i could go,5,1.0
and i have a,5,1.0
to talk to you,5,1.0
happy mothers day to,5,1.0
are you going to,5,1.0
nt wait to see,5,1.0
so i ca nt,5,1.0
do nt have to,5,1.0
to be in the,5,1.0
to wake up early,5,1.0
i wan na see,5,1.0
i feel like a,4,1.0
to get ready for,4,1.0
i just want to,4,1.0
but i did nt,4,1.0
i m not in,4,1.0
i think i am,4,1.0
i thought it was,4,1.0
hope you feel better,4,1.0
i would like to,4,1.0
on our way to,4,1.0
i thought i was,4,1.0
if there s a,4,1.0
how to use this,4,1.0
i do nt do,4,1.0
wo nt be in,4,1.0
na go back to,4,1.0
too bad it s,4,1.0
as long as you,4,1.0
it s a bit,4,1.0
what did you do,4,1.0
i really wan na,4,1.0
if you want to,4,1.0
i m not a,4,1.0
have to wait for,4,1.0
ca nt believe i,4,1.0
i think that s,4,1.0
i think i should,4,1.0
i ll call you,4,1.0
you re gon na,4,2.0
do nt know if,4,1.0
wan na go to,4,1.0
it wo nt be,4,1.0
i m such a,4,1.0
now i have no,4,1.0
i just ca nt,4,1.0
i ll let you,4,1.0
to the movies with,4,1.0
i look like a,4,2.0
how are you doing,4,1.0
to go home and,4,1.0
i d like to,4,1.0
i ve been on,4,1.0
and i have to,4,1.0
i feel sorry for,4,1.0
the video is private,4,1.0
miss you so much,4,1.0
do nt get it,4,1.0
you wo nt be,4,1.0
that s why i,4,1.0
wan na go back,4,1.0
i did nt know,4,2.0
for the rest of,4,1.0
never be the same,4,1.0
i did nt have,4,1.0
hope you have a,4,1.0
i know i m,4,1.0
i guess i ll,4,1.0
but i need to,4,1.0
going to see star,4,1.0
ca nt wait till,4,1.0
sorry to hear that,4,1.0
i ca nt sleep,4,1.0
hit by a car,4,1.0
and i m not,4,1.0
you have to be,4,1.0
i m at work,4,1.0
have to work tomorrow,4,1.0
for a little while,4,1.0
i need a new,4,1.0
ca nt find my,4,1.0
it s been a,4,1.0
the end of the,4,1.0
figure out how to,4,4.0
i m still waiting,4,1.0
s day to all,4,1.0
i really want to,4,1.0
i could nt find,4,1.0
that would have been,4,2.0
but i live in,4,1.0
have to wake up,4,38.0
wish i was in,4,1.0
to go back to,4,1.0
we re gon na,4,1.0
i ve got to,4,1.0
i wo nt get,4,1.0
to be able to,4,1.0
i ca nt make,4,1.0
just woke up and,4,1.0
at least it s,4,1.0
is about to go,4,1.0
would nt be able,4,1.0
in a few hours,4,2.0
did nt have a,4,1.0
guess i have to,4,1.0
ca nt see it,4,1.0
a bit of a,4,1.0
i have a cold,4,1.0
on a friday night,4,1.0
i went to the,4,1.0
i do nt really,4,1.0
i really do nt,4,1.0
i m sorry i,4,2.0
that i do nt,4,1.0
back to work tomorrow,4,1.0
the fact that i,4,1.0
with my best friend,4,1.0
and i ca nt,4,1.0
i know what you,4,1.0
i do nt wan,4,1.0
i m supposed to,4,1.0
it wo nt let,4,1.0
get ready for work,4,1.0
off the wagon and,3,1.0
have a lot to,3,1.0
need to catch up,3,1.0
had a great time,3,1.0
wants to see it,3,1.0
did nt want to,3,1.0
all of a sudden,3,1.0
i love me some,3,1.0
i ca nt watch,3,1.0
how are you today,3,1.0
ta go back to,3,1.0
we ll have to,3,1.0
i was in the,3,1.0
ca nt do anything,3,1.0
for the next weeks,3,1.0
and then going to,3,1.0
i thought you were,3,1.0
i can sleep in,3,1.0
have no idea how,3,1.0
as much as i,3,1.0
well as long as,3,1.0
have to take a,3,1.0
when i was a,3,1.0
have no one to,3,1.0
i know how you,3,1.0
it s under a,3,1.0
to bed good night,3,1.0
all over the place,3,1.0
i ca nt help,3,1.0
i hope it s,3,3.0
i just have to,3,1.0
m going to go,3,1.0
wants to go to,3,1.0
really do nt want,3,1.0
s his last day,3,2.0
i really have to,3,1.0
by the time i,3,1.0
what happened to my,3,1.0
so i can go,3,1.0
for the last time,3,1.0
you so much for,3,1.0
see if i can,3,1.0
i miss you so,3,1.0
out how to use,3,1.0
do nt think so,3,1.0
what to do tonight,3,1.0
it s friday but,3,8.0
have to be to,3,1.0
sleep i have to,3,1.0
a cup of coffee,3,1.0
i do nt need,3,1.0
and i m stuck,3,1.0
not be able to,3,1.0
watching ace of cakes,3,1.0
i ll try to,3,1.0
it did nt work,3,1.0
s supposed to be,3,1.0
s what i was,3,1.0
what do you think,3,1.0
been there done that,3,1.0
call you but it,3,1.0
with the family and,3,1.0
as soon as i,3,1.0
the sun has gone,3,1.0
i know i ca,3,1.0
to figure out what,3,1.0
i will be home,3,1.0
getting ready for a,3,1.0
i still want to,3,1.0
is not an option,3,1.0
no it s not,3,1.0
no i did nt,3,1.0
not gon na happen,3,1.0
at least i m,3,1.0
i do nt feel,3,1.0
have to wait until,3,1.0
to go back and,3,1.0
i have so much,3,1.0
or should i say,3,1.0
i m no longer,3,1.0
go back to work,3,1.0
my brothers soccer game,3,1.0
i think the sun,3,1.0
i ca nt dm,3,1.0
i think it was,3,1.0
did nt know that,3,1.0
now i m going,3,1.0
nice to wake up,3,1.0
that all the time,3,1.0
got ta be at,3,1.0
to wait for my,3,1.0
i ve just realised,3,1.0
good luck with the,3,1.0
you have a nice,3,1.0
glad to hear you,3,1.0
i ll keep that,3,1.0
i did nt see,3,3.0
but i ll be,3,1.0
what time is it,3,1.0
i dont want to,3,2.0
back from the gym,3,1.0
wish i could have,3,1.0
for the most part,3,1.0
got ta get up,3,1.0
shame i have to,3,1.0
i still ca nt,3,1.0
so sorry to hear,3,1.0
wish i had a,3,1.0
i didnt get to,3,1.0
no one to go,3,1.0
now i need to,3,1.0
got ta go to,3,1.0
get to see it,3,1.0
day to all the,3,1.0
do nt see the,3,1.0
i m so tired,3,1.0
gon na miss the,3,1.0
would if i was,3,1.0
the wagon and had,3,1.0
to go to my,3,1.0
do nt feel like,3,1.0
i did nt think,3,1.0
wanted to go to,3,1.0
i think i may,3,1.0
i need to see,3,1.0
i had a dream,3,1.0
na go to the,3,1.0
i ca nt vote,3,1.0
i know but i,3,1.0
going to get my,3,1.0
ll keep that in,3,1.0
a link to the,3,1.0
