,frequency,presence,idf,tf-idf
i,6071,4376.0,1.9322018583225196,11730.397481876016
to,4099,3265.0,2.2249994219830045,9120.272630708336
the,3483,2866.0,2.355299229630045,8203.507216801447
a,2482,2196.0,2.6214726231288044,6506.495050605692
my,1977,1755.0,2.8455269213183527,5625.6067234463835
it,1970,1708.0,2.872657012397824,5659.1343144237135
you,1916,1591.0,2.9435743291090866,5639.88841457301
and,1834,1658.0,2.90235040532297,5322.910643362327
in,1568,1439.0,3.0439223029433684,4772.870171015202
is,1523,1425.0,3.0536920945391737,4650.773059983161
for,1408,1306.0,3.140830981889193,4422.290022499984
on,1257,1183.0,3.2396668800694637,4072.261268247316
s,1255,1145.0,3.2722877982387297,4106.721186789606
of,1219,1124.0,3.2907823808748944,4011.4637222864962
nt,1181,1106.0,3.306911762804778,3905.4627918724427
but,1127,1093.0,3.3187247125314885,3740.2027510229877
me,1080,1019.0,3.388762789235098,3659.863812373906
that,1035,972.0,3.4359366133274096,3556.194394793869
have,1030,961.0,3.447306244847708,3550.725432193139
just,893,876.0,3.539813703141232,3161.05363690512
do,851,779.0,3.6570267758297774,3112.1297862311408
at,816,765.0,3.6751385257728235,2998.913037030624
with,815,781.0,3.654465954968104,2978.3897532990045
so,796,751.0,3.693584371563575,2940.093159764606
m,778,731.0,3.7205401815521033,2894.5802612475363
be,767,736.0,3.713732803324078,2848.433060149568
not,753,726.0,3.7273942179798953,2806.727846138861
was,700,643.0,3.848621969409061,2694.0353785863426
up,630,598.0,3.9210590973979653,2470.267231360718
now,630,617.0,3.889832238055724,2450.594309975106
out,616,596.0,3.9244035821208128,2417.4326065864207
get,614,595.0,3.926080028448065,2410.6131374671118
no,587,559.0,3.98838391178422,2341.181356217337
this,574,551.0,4.00277264923632,2297.591500661648
go,570,546.0,4.011871893091434,2286.766979062117
are,555,525.0,4.051019482775705,2248.315812940516
all,532,513.0,4.0740974300582495,2167.419832790989
got,524,501.0,4.097720575821686,2147.2055817305636
day,493,463.0,4.176436143287159,2058.9830186405693
work,477,449.0,4.2070731127490495,2006.7738747812966
quot,474,252.0,4.782931206785895,2267.109392016514
going,472,463.0,4.176436143287159,1971.277859631539
lol,452,432.0,4.245582967510925,1919.0035013149381
what,447,434.0,4.240974664424731,1895.7156749978546
like,445,426.0,4.25953668228479,1895.4938236167316
today,432,423.0,4.266587240281456,1843.1656878015892
we,416,377.0,4.381426499893827,1822.673423955832
time,415,401.0,4.319868606894394,1792.7454718611734
your,412,390.0,4.347613135528049,1791.2166118375562
back,409,400.0,4.322359268206846,1767.8449406966
from,409,403.0,4.3149058175522645,1764.7964793788763
know,408,396.0,4.332384414826224,1767.6128412490996
one,401,374.0,4.3893946695430035,1760.1472624867445
there,392,373.0,4.392064898098883,1721.6894400547621
URL,385,373.0,4.392064898098883,1690.94498576807
will,384,369.0,4.402817689875144,1690.6819929120554
u,383,310.0,4.57652778333418,1752.810141016991
can,380,366.0,4.410958847458844,1676.164362034361
too,373,366.0,4.410958847458844,1645.287650102149
if,360,346.0,4.466995915566556,1608.11852960396
see,353,342.0,4.478590248347475,1580.9423576666586
did,352,336.0,4.4962377651610534,1582.6756933366908
some,345,334.0,4.502190163688349,1553.2556064724804
home,336,325.0,4.529423314146707,1521.8862335532936
about,326,317.0,4.554269312733238,1484.6917959510356
want,321,314.0,4.563748056687782,1464.963126196778
new,317,306.0,4.589472947926218,1454.8629244926112
how,313,306.0,4.589472947926218,1436.5050327009062
off,311,308.0,4.582979418615669,1425.3065991894732
they,305,281.0,4.674413624575301,1425.6961554954669
good,303,291.0,4.639566893245133,1405.7887686532754
ll,301,293.0,4.632740928174734,1394.4550193805949
im,301,281.0,4.674413624575301,1406.9985009971656
its,300,283.0,4.667346457352209,1400.2039372056627
amp,294,255.0,4.771143251033852,1402.7161158039523
more,293,282.0,4.670873797870177,1368.566022775962
think,285,282.0,4.670873797870177,1331.1990323930006
am,281,275.0,4.6959198297962645,1319.5534721727504
still,280,277.0,4.688699581822778,1312.835882910378
as,279,229.0,4.878241386590219,1361.0293468586713
here,278,270.0,4.714201874633714,1310.5481211481724
na,276,266.0,4.729072037113165,1305.2238822432337
well,274,268.0,4.721609315911575,1293.7209525597716
need,271,267.0,4.725333715002558,1280.5654367656932
ca,269,268.0,4.721609315911575,1270.1129059802138
then,266,256.0,4.767244610618195,1268.0870664244399
night,265,250.0,4.790867756381631,1269.5799554411321
