,presence
i,1072.0
good,824.0
happy,722.0
you,632.0
love,670.0
to,561.0
a,560.0
the,517.0
s,470.0
day,433.0
it,396.0
thanks,436.0
great,353.0
my,266.0
for,272.0
fun,279.0
is,270.0
and,257.0
so,254.0
nice,261.0
hope,244.0
awesome,226.0
that,211.0
of,194.0
be,181.0
have,177.0
thank,179.0
was,168.0
all,165.0
like,164.0
mother,151.0
best,150.0
wish,151.0
in,142.0
m,146.0
me,144.0
with,144.0
nt,137.0
amazing,130.0
really,115.0
your,121.0
better,118.0
are,115.0
cool,113.0
mothers,103.0
much,107.0
just,107.0
glad,105.0
excited,99.0
had,95.0
very,92.0
on,94.0
too,93.0
do,88.0
this,90.0
u,79.0
night,85.0
morning,86.0
lol,85.0
well,83.0
cute,85.0
we,73.0
enjoy,79.0
e,76.0
haha,75.0
beautiful,75.0
pretty,73.0
yay,71.0
lovely,72.0
re,70.0
one,68.0
funny,68.0
its,66.0
not,66.0
quot,55.0
an,62.0
time,65.0
out,65.0
sweet,63.0
but,61.0
get,61.0
at,61.0
will,61.0
now,59.0
d,60.0
today,59.0
see,60.0
wow,60.0
luck,59.0
aww,58.0
am,57.0
loved,58.0
soo,58.0
welcome,58.0
would,54.0
he,55.0
wait,57.0
goodnight,57.0
got,57.0
oh,55.0
wonderful,54.0
as,48.0
go,54.0
mom,52.0
up,53.0
she,48.0
what,51.0
there,50.0
feel,51.0
hopefully,50.0
im,49.0
amp,46.0
ca,49.0
some,49.0
loves,45.0
her,44.0
can,45.0
new,44.0
work,44.0
going,41.0
sounds,43.0
no,41.0
from,42.0
interesting,42.0
t,41.0
everyone,41.0
more,38.0
back,40.0
lt,40.0
forward,39.0
looking,38.0
ll,38.0
god,37.0
make,37.0
perfect,37.0
home,36.0
l,35.0
star,35.0
they,35.0
want,35.0
fantastic,33.0
lucky,35.0
know,34.0
birthday,33.0
look,33.0
finally,34.0
show,34.0
y,33.0
looks,33.0
please,26.0
feeling,31.0
here,30.0
hoping,32.0
soon,31.0
o,31.0
congrats,31.0
favorite,31.0
right,31.0
tonight,30.0
sure,30.0
may,30.0
ever,28.0
yummy,29.0
na,29.0
could,29.0
think,29.0
enjoying,29.0
loving,29.0
life,28.0
having,27.0
ya,25.0
again,27.0
done,27.0
how,25.0
such,27.0
come,26.0
them,27.0
about,27.0
bless,27.0
yum,22.0
worth,26.0
him,26.0
fine,26.0
been,26.0
wars,26.0
cant,26.0
should,25.0
off,25.0
though,25.0
movie,24.0
liked,25.0
way,24.0
special,25.0
than,24.0
made,24.0
weekend,24.0
still,24.0
congratulations,24.0
n,24.0
help,24.0
ur,23.0
times,23.0
twitter,24.0
being,24.0
ve,23.0
win,22.0
yes,23.0
guys,23.0
bad,23.0
relaxing,23.0
need,23.0
thx,23.0
if,22.0
always,22.0
little,22.0
family,22.0
thats,20.0
when,21.0
dont,20.0
week,21.0
song,21.0
exciting,21.0
people,21.0
man,21.0
wishing,20.0
has,20.0
luv,20.0
were,20.0
moms,20.0
appreciate,20.0
worry,20.0
tomorrow,19.0
last,20.0
by,19.0
miss,20.0
friends,20.0
world,20.0
delicious,19.0
us,17.0
job,19.0
proud,19.0
gorgeous,19.0
monday,19.0
r,19.0
thing,18.0
music,17.0
omg,18.0
most,18.0
thanx,18.0
say,18.0
yeah,18.0
totally,17.0
safe,17.0
won,17.0
doing,17.0
wan,17.0
super,17.0
let,17.0
chillin,17.0
ok,17.0
then,16.0
hilarious,16.0
our,16.0
follow,16.0
does,16.0
big,15.0
next,16.0
hear,16.0
did,16.0
smile,14.0
fan,16.0
excellent,16.0
quite,16.0
over,15.0
first,15.0
wishes,15.0
feels,15.0
th,15.0
who,14.0
why,14.0
mommy,15.0
aw,15.0
after,15.0
never,14.0
everything,15.0
actually,15.0
days,14.0
ha,11.0
enjoyed,14.0
things,14.0
rock,14.0
watching,14.0
weather,14.0
yo,12.0
baby,14.0
stuff,14.0
another,14.0
free,14.0
only,13.0
or,12.0
ahh,13.0
evening,13.0
holiday,13.0
dreams,13.0
wo,13.0
lot,13.0
hugs,13.0
lovee,13.0
take,13.0
g,13.0
favourite,13.0
nothing,13.0
long,13.0
likes,12.0
girl,13.0
mum,12.0
bday,13.0
da,13.0
sleep,12.0
mo,12.0
place,12.0
true,12.0
also,12.0
fab,10.0
his,12.0
sunday,12.0
hahaha,12.0
friday,12.0
start,12.0
something,12.0
school,12.0
kind,12.0
hard,12.0
blessed,12.0
keep,12.0
year,12.0
hey,12.0
okay,11.0
woo,12.0
care,11.0
those,11.0
lo,11.0
mp,11.0
gon,11.0
crazy,11.0
wanted,11.0
h,11.0
talk,11.0
lots,10.0
w,11.0
saturday,11.0
blast,11.0
agree,11.0
makes,11.0
bed,11.0
two,11.0
live,11.0
ready,10.0
down,10.0
believe,10.0
goo,10.0
rest,10.0
fave,10.0
sorry,10.0
party,10.0
find,10.0
getting,10.0
around,10.0
went,10.0
working,10.0
trying,10.0
lady,10.0
meet,10.0
joy,10.0
awsome,10.0
both,10.0
goodmorning,10.0
