,frequency,presence,idf,tf-idf
i,9031,6906.0,2.381141394025824,21504.087929447214
to,5308,4355.0,2.842122579061946,15085.98664966081
the,4606,3860.0,2.962750566850561,13646.429110913683
a,3559,3195.0,3.151776756228632,11217.173475417701
you,2876,2457.0,3.414328772988817,9819.609551115838
it,2843,2508.0,3.3937925167483747,9648.55212511563
my,2791,2517.0,3.390211848510505,9462.081269192819
and,2374,2153.0,3.5463502053984635,8419.035387615952
is,2207,2079.0,3.5813088904194337,7903.94872115569
s,2012,1874.0,3.685068124710286,7414.357066917095
in,1982,1826.0,3.7110015067367903,7355.204986352318
nt,1880,1784.0,3.734258368901058,7020.4057335339885
for,1856,1735.0,3.7620931678945015,6982.444919612195
of,1641,1520.0,3.8943087708555044,6390.560692973882
me,1546,1473.0,3.9256969903655152,6069.127547105087
that,1540,1462.0,3.933187662094673,6057.108999625797
on,1490,1406.0,3.9722170060004083,5918.603338940608
so,1436,1366.0,4.001058226390848,5745.519613097257
have,1402,1323.0,4.033019326617843,5654.293095918217
but,1321,1283.0,4.06369657886489,5368.14318068052
m,1295,1235.0,4.101796425097161,5311.826370500824
good,1266,1240.0,4.09775927791019,5187.7632458343005
not,1241,1213.0,4.119756091495354,5112.617309545734
do,1192,1102.0,4.215643043861295,5025.046508282664
just,1164,1144.0,4.178272147126457,4863.508779255196
be,1096,1059.0,4.255407876008684,4663.927032105518
day,1055,1006.0,4.306701170396234,4543.569734768027
with,1052,1014.0,4.298788171638909,4522.325156564133
was,1025,953.0,4.360768391666511,4469.787601458173
at,1008,948.0,4.36602326450487,4400.951450620909
love,895,877.0,4.44378546947968,3977.187995184314
no,849,807.0,4.526870004593702,3843.3126339000532
happy,851,844.0,4.482095435757623,3814.2632158297374
all,814,790.0,4.548134095347143,3702.1811536125742
this,813,786.0,4.553203814697394,3701.754701348981
up,799,765.0,4.580249893374206,3659.6196648059904
now,791,777.0,4.564705538936406,3610.682081298697
out,783,762.0,4.58417403183034,3589.408266923156
get,774,750.0,4.600026411350663,3560.420442385413
like,772,748.0,4.602693079597578,3553.27905744933
are,768,735.0,4.62020194438592,3548.315093288387
go,702,676.0,4.703760790202522,3302.0400747221706
quot,607,356.0,5.343696281335158,3243.623642770441
got,660,636.0,4.764662407542634,3144.6771889781385
work,618,588.0,4.8430058794632105,2992.9776335082643
too,619,610.0,4.806335103943201,2975.1214293408416
going,593,582.0,4.853244876764305,2877.974211921233
your,584,557.0,4.897073100733486,2859.890690828356
today,575,564.0,4.884606331968357,2808.648640881805
what,572,558.0,4.895282589959698,2800.101641456947
we,559,509.0,4.987021337396426,2787.7449276046023
lol,555,534.0,4.939165316218791,2741.236750501429
u,531,444.0,5.123357780948557,2720.5029816836836
one,546,514.0,4.9772651624510615,2717.5867786982794
time,534,520.0,4.96568202136143,2651.6741994070035
thanks,533,531.0,4.9447885737731525,2635.57230982109
really,521,490.0,5.024987935320277,2618.0187143018643
miss,514,507.0,4.990950615536315,2565.348616385666
will,497,480.0,5.045564793009036,2507.645702125491
know,493,479.0,5.04764595921286,2488.48945789194
back,491,482.0,5.041415409462225,2475.3349660459526
there,487,466.0,5.0751028054458995,2471.575066252153
from,487,480.0,5.045564793009036,2457.1900541954005
im,474,446.0,5.118873468501229,2426.346024069582
can,473,458.0,5.092381853054252,2408.696616494661
great,474,465.0,5.0772464289891515,2406.6148073408576
ca,466,463.0,5.081547510888542,2368.0011400740605
its,442,423.0,5.171698607882839,2285.890784684215
see,442,430.0,5.15532397301105,2278.653196070884
fun,442,432.0,5.150694335112307,2276.6068961196397
did,440,424.0,5.16934289419038,2274.510873443767
am,434,427.0,5.1623088675330004,2240.4420485093224
sorry,427,425.0,5.166992716845427,2206.3058900929973
if,423,408.0,5.207716907071996,2202.8642516914542
some,419,408.0,5.207716907071996,2182.033384063166
sad,420,415.0,5.190746802853534,2180.1136571984844
well,417,407.0,5.2101648887106355,2172.638758592335
they,411,384.0,5.268188728827013,2165.2255675479023
want,412,405.0,5.2150789035130645,2148.6125082473827
about,411,402.0,5.2224955011681145,2146.4456509800953
home,406,393.0,5.245081153816863,2129.5029484496463
had,404,391.0,5.250170223324335,2121.068770223031
hope,400,398.0,5.232470646224934,2092.9882584899738
amp,388,341.0,5.386621326052192,2090.0090745082507
as,383,318.0,5.456240960329953,2089.7402878063717
URL,394,382.0,5.273397073934151,2077.7184471300557
bad,395,392.0,5.247622451245536,2072.8108682419866
