,textID,text,selected_text,sentiment
0,a3d0a7d5ad,"Spent the entire morning in a meeting w/ a vendor, and my boss was not happy w/ them. Lots of fun.  I had other plans for my morning",my boss was not happy w/ them. Lots of fun.,neutral
1,251b6a6766, Oh! Good idea about putting them on ice cream,Good,positive
2,c9e8d1ef1c,says good (or should i say bad?) afternoon!  http://plurk.com/p/wxpdj,says good (or should i say bad?) afternoon!,neutral
3,f14f087215, i dont think you can vote anymore! i tried,i dont think you can vote anymore!,negative
4,bf7473b12d, haha better drunken tweeting you mean?,better,positive
5,1915bebcb3,headache  wanna see my Julie,headache,negative
6,2ab82634d5,had an awsome salad! I recommend getting the Spicey buffalo chicken salad!,had an awsome salad!,positive
7,a5a1c996c0, fine! Going to do my big walk today 20 or so miles,fine!,positive
8,a182b2638e, Thank a yoou  how are you? #TwitterTakeover,Thank,positive
9,1dcb6fdb13,Why don't adobe realise no one WANTS to pay for Photoshop et al so they should just give it to us for free,Why don't adobe realise no one WANTS to pay for Photoshop et al so they should just give it to us for free,neutral
10,6bff31375d,PRD take a long time to review!,PRD take a long time to review!,neutral
11,e1ed43bebe,"_2008 Well, having to revise them!  Was to do some more gardening, now, I guess hoovering and some warcraft  Not played in a week !","2008 Well, having to revise them!  Was to do some more gardening, now, I guess hoovering and some warcraft  Not played in a week",neutral
12,41fd07f670, Miss you my dear,Miss you my dear,negative
13,bc0f2cb758,Have just bought a TV tuner for my laptop.  He he.  I deserve a present,Have just bought a TV tuner for my laptop.  He he.  I deserve a present,positive
14,0e6fb9153c, ya mine too but for very different reason,ya mine too but for very different reason,neutral
15,49c7c9c6e2,"Today Dan bought me Bio Dome AND the Reality Bites Soundtrack! Needless to say he gets MAYJAH points!  Also, my tummy is not happy. Boo.",", my tummy is not happy. Boo.",negative
16,e6f5e9817d, oo noo thats not good,s not good,negative
17,fee2d997a9,misses her phone... having no service sucks,having no service sucks,negative
18,459fc2a7c8,so i have like no more friends it's kinda sad,no more friends,negative
19,1a760553fc,i have perused the #fieldnotes website and it is good.  too bad i must return to work,i have perused the #fieldnotes website and it is good.  too bad i must return to work,neutral
20,1e857fecf5, ....welcome to public transport  X,....welcome to public transport  X,neutral
21,22adf200c3,"Also I popped the phone open and got all that goddamn dust out, but I wore out a clip on the camera panel so I had to glue it shut",goddamn,negative
22,bae5414377, uh oh,uh oh,negative
23,22744e80f7,"12:46AM. HAppy birthday little sister of mine. Also, good night Priscilla",HAppy birthday little sister of mine.,positive
24,e487233140, aaawww  no worries fresh start to work on growing it out again,aaawww  no worries,positive
25,22e66a73af," oh, /me still hasn't got around to starting it","oh, /me still hasn't got around to starting it",neutral
26,01cfa3807e,is sooo tired and too busy to tweet  im glad the weekend is here... yay 4 day-weekend,glad,positive
27,7f59b000cd,  what's going on ?,what's going on,neutral
28,127b2ac78c," I can't, I'm studying so I don't fail  Come over, I'll make u some tortellini or chicken or a chicken salad.","I can't, I'm studying so I don't fail  Come over, I'll make u some tortellini or chicken or a chicken salad.",neutral
29,a6c77ff610,Just watched &quot;Marley &amp; Me.&quot; Cute movie. Going to watch &quot;Twilight&quot; soon!  Love it!,mp; Me,positive
30,436b24fc93, not sure... there are fanciful expensive ones - but some basic ones are not expensive... Try the 24hr 'M' shopping place,not sure... there are fanciful expensive ones - but some basic ones are not expensive.,neutral
31,c63298701b,hello thereeeeeee,hello thereeeeeee,neutral
32,4ce78f6e92, oh he is so cute... is he in uniteddogs.com? Poppy is there,cute.,positive
33,2838f92a2b,has just joined the twitter community,has just joined the twitter community,neutral
